"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"AT1G76700.1","0.00810747064554171","0.00193362193362193","24","16","1.14314616986052"
"AT1G76730.1","0.00504426125616406","0.000794327200577201","24","18","1.17079158239461"
"AT1G76790.1","0.0601338460704449","0.0324589646464646","28","12","1.31194948504758"
"AT1G76810.1","0.0951258524510643","0.0572696458633959","24","22","0.989800160534071"
"AT1G76850.1","0.147746940602152","0.0968455387205387","24","16","0.916697799634635"
"AT1G76860.1","0.0225061986539284","0.0089799031986532","28","12","1.3131365850995"
"AT1G76878.1","0.00504426125616406","0.000794327200577201","24","22","1.03723090755685"
"AT1G76880.1","0.00504426125616406","0.000794327200577201","24","22","0.853432897765642"
"AT1G76890.2","0.147746940602152","0.0968455387205387","24","0","0.853940790377109"
"AT1G76930.2","0.0951258524510643","0.0572696458633959","28","12","0.507410807387102"
"AT1G76955.1","0.00318510085246977","0.000294161856661857","24","14","1.17327183763748"
"AT1G76960.1","0.037129816454249","0.0175406595719096","28","14","1.1168595260431"
"AT1G76990.1","0.33011780973387","0.247873827561328","24","22","1.0013585417895"
"AT1G76990.3","0.037129816454249","0.0175406595719096","28","0","1.05761232644316"
"AT1G76990.4","1","1","24","0","0.732299100054297"
"AT1G77030.1","0.147746940602152","0.0968455387205387","24","22","1.09159154924852"
"AT1G77060.1","0.037129816454249","0.0175406595719096","24","10","1.01992909845503"
"AT1G77080.2","0.33011780973387","0.247873827561328","24","14","1.10724860701614"
"AT1G77080.4","1","1","28","22","0.80442694484055"
"AT1G77090.1","0.00810747064554171","0.00193362193362193","28","22","1.44859608391605"
